endpoint,subgroup,habitat,n,median_pct,q1_pct,q3_pct,p_value_within_endpoint
WHO grade,Grade 2,1,45,0.15460786659549,0.008815232722143865,0.59866867995151,9.029256995883086e-19
WHO grade,Grade 3,1,64,0.43590252231505,0.10972857275947501,0.9953485518500376,9.029256995883086e-19
WHO grade,Grade 4,1,331,2.20670989870839,0.5749071172168849,6.45603917316264,9.029256995883086e-19
WHO grade,Grade 2,2,45,0.66995768688293,0.20009734465415,1.9358279264065401,3.1669441187756934e-14
WHO grade,Grade 3,2,64,1.383432469080955,0.6077644699677724,2.6637039028187672,3.1669441187756934e-14
WHO grade,Grade 4,2,331,4.83589420910548,1.779489447267995,9.215492086033471,3.1669441187756934e-14
WHO grade,Grade 2,3,45,6.615110053539559,4.180782602263481,11.79313498224197,9.00267513669839e-06
WHO grade,Grade 3,3,64,7.93150493579512,4.76927004051389,12.91297595911731,9.00267513669839e-06
WHO grade,Grade 4,3,331,11.77395577395577,7.434618306579035,16.936036362883364,9.00267513669839e-06
WHO grade,Grade 2,4,45,14.45784435671407,10.65864284132023,22.8272787076968,0.5854456118114753
WHO grade,Grade 3,4,64,14.952547886853313,10.504863447029074,21.67278770040238,0.5854456118114753
WHO grade,Grade 4,4,331,15.95098392988665,11.16389853072744,22.153732721247835,0.5854456118114753
WHO grade,Grade 2,5,45,24.02549970117537,17.27163572550106,28.12124399038461,1.698940025728769e-08
WHO grade,Grade 3,5,64,21.476468226586945,16.626021292015572,27.19589822040318,1.698940025728769e-08
WHO grade,Grade 4,5,331,15.624440865986761,11.61860919158454,20.43805866006774,1.698940025728769e-08
WHO grade,Grade 2,6,45,7.986802922210081,4.7574725779657605,10.04860769966646,9.513517357864185e-12
WHO grade,Grade 3,6,64,6.964859280423475,5.1462615218409375,8.524735670399004,9.513517357864185e-12
WHO grade,Grade 4,6,331,4.5449026092297995,3.0535564332760803,6.01345001734387,9.513517357864185e-12
WHO grade,Grade 2,7,45,37.49711136787841,25.86575789659431,50.52152274050935,0.5356198610394127
WHO grade,Grade 3,7,64,38.24897226824342,27.063749048327857,53.79595138749841,0.5356198610394127
WHO grade,Grade 4,7,331,35.10819594166138,20.59114798107612,52.39273649893332,0.5356198610394127
WHO grade,Grade 2,8,45,0.008876396183149641,0.0,0.025591512923709998,0.10292958511429301
WHO grade,Grade 3,8,64,0.0043078775900227614,0.0,0.019096782820225,0.10292958511429301
WHO grade,Grade 4,8,331,0.008207148426279289,0.002042800574567705,0.019862269335205,0.10292958511429301
IDH mutation,IDH-wildtype,1,309,2.3937242256054,0.7242339832869,6.81893412777226,5.5372189934027225e-24
